Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"1-Acyl-sn-glycero-3-phosphoglycerol (N-C16:1)","C22H42O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C22H43O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-22(26)29-17-21(25)19-31-32(27,28)30-18-20(24)16-23/h7-8,20-21,23-25H,2-6,9-19H2,1H3,(H,27,28)/p-1/b8-7+",,,,,,,,,,
"1-Acyl-sn-glycero-3-phosphoglycerol (N-C18:0)","C24H48O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H49O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h22-23,25-27H,2-21H2,1H3,(H,29,30)/p-1",,,,,,,,,,
"1-Acyl-sn-glycero-3-phosphoglycerol (N-C18:1)","C24H46O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/p-1/b10-9+",,,,,,,,,,
"1-Dodecanoyl-sn-glycerol 3-phosphate","C15H29O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H31O7P/c1-2-3-4-5-6-7-8-9-10-11-15(17)21-12-14(16)13-22-23(18,19)20/h14,16H,2-13H2,1H3,(H2,18,19,20)/p-2",,,,,,,,,,
"1-Hexadec-9-enoyl-sn-glycerol 3-phosphate","C19H35O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H37O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(21)25-16-18(20)17-26-27(22,23)24/h7-8,18,20H,2-6,9-17H2,1H3,(H2,22,23,24)/p-2/b8-7+",,,,,,,,,,
"1-hexadecanoyl-sn-glycerol 3-phosphate","C19H39O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H39O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(21)25-16-18(20)17-26-27(22,23)24/h18,20H,2-17H2,1H3,(H2,22,23,24)",,,,,,,,,,
"1-Octadec-11-enoyl-sn-glycerol 3-phosphate","C21H39O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H41O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(23)27-18-20(22)19-28-29(24,25)26/h7-8,20,22H,2-6,9-19H2,1H3,(H2,24,25,26)/p-2/b8-7+",,,,,,,,,,
"1-Octadecanoyl-sn-glycerol 3-phosphate","C21H41O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H43O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(23)27-18-20(22)19-28-29(24,25)26/h20,22H,2-19H2,1H3,(H2,24,25,26)/p-2/t20-/m1/s1",,,,,,,,,,
"1-Tetradec-7-enoyl-sn-glycerol 3-phosphate","C17H31O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H33O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(19)23-14-16(18)15-24-25(20,21)22/h7-8,16,18H,2-6,9-15H2,1H3,(H2,20,21,22)/p-2/b8-7+",,,,,,,,,,
"1-Tetradecanoyl-sn-glycerol 3-phosphate","C17H33O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H35O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(19)23-14-16(18)15-24-25(20,21)22/h16,18H,2-15H2,1H3,(H2,20,21,22)/p-2",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoethanolamine (N-C12:0)","C17H36NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H36NO7P/c1-2-3-4-5-6-7-8-9-10-11-17(20)25-16(14-19)15-24-26(21,22)23-13-12-18/h16,19H,2-15,18H2,1H3,(H,21,22)",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoethanolamine (N-C14:0)","C19H40NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H40NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-19(22)27-18(16-21)17-26-28(23,24)25-15-14-20/h18,21H,2-17,20H2,1H3,(H,23,24)",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoethanolamine (N-C14:1)","C19H35NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H36NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-19(22)27-18(16-21)17-26-28(23,24)25-15-14-20/h7-8,18,21H,2-6,9-17H2,1H3,(H,23,24)/q+1/p-1/b8-7+",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoethanolamine (N-C16:0)","C21H44NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)29-20(18-23)19-28-30(25,26)27-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoethanolamine (N-C16:1)","C21H39NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H40NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)29-20(18-23)19-28-30(25,26)27-17-16-22/h7-8,20,23H,2-6,9-19H2,1H3,(H,25,26)/q+1/p-1/b8-7+",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoethanolamine (N-C18:0)","C23H48NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C23H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)31-22(20-25)21-30-32(27,28)29-19-18-24/h22,25H,2-21,24H2,1H3,(H,27,28)",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoethanolamine (N-C18:1)","C23H43NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)31-22(20-25)21-30-32(27,28)29-19-18-24/h7-8,22,25H,2-6,9-21H2,1H3,(H,27,28)/q+1/p-1/b8-7+",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)","C18H36O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H37O9P/c1-2-3-4-5-6-7-8-9-10-11-18(22)25-13-17(21)15-27-28(23,24)26-14-16(20)12-19/h16-17,19-21H,2-15H2,1H3,(H,23,24)/p-1",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoglycerol (N-C14:0)","C20H40O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C20H41O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-20(24)29-19(15-22)17-28-30(25,26)27-16-18(23)14-21/h18-19,21-23H,2-17H2,1H3,(H,25,26)/p-1",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoglycerol (N-C14:1)","C20H38O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C20H39O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-20(24)29-19(15-22)17-28-30(25,26)27-16-18(23)14-21/h7-8,18-19,21-23H,2-6,9-17H2,1H3,(H,25,26)/p-1/b8-7+",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoglycerol (N-C16:0)","C22H44O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C22H45O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-22(26)31-21(17-24)19-30-32(27,28)29-18-20(25)16-23/h20-21,23-25H,2-19H2,1H3,(H,27,28)/p-1",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoglycerol (N-C16:1)","C22H42O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C22H43O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-22(26)31-21(17-24)19-30-32(27,28)29-18-20(25)16-23/h7-8,20-21,23-25H,2-6,9-19H2,1H3,(H,27,28)/p-1/b8-7+",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoglycerol (N-C18:0)","C24H48O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H49O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)33-23(19-26)21-32-34(29,30)31-20-22(27)18-25/h22-23,25-27H,2-21H2,1H3,(H,29,30)/p-1",,,,,,,,,,
"2-Acyl-sn-glycero-3-phosphoglycerol (N-C18:1)","C24H46O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)33-23(19-26)21-32-34(29,30)31-20-22(27)18-25/h7-8,22-23,25-27H,2-6,9-21H2,1H3,(H,29,30)/p-1/b8-7+",,,,,,,,,,
"2-Aminomalonate semialdehyde","C3H5NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H5NO3/c4-2(1-5)3(6)7/h1-2H,4H2,(H,6,7)/t2-/m0/s1",,,,,,,,,,
"2-Demethylmenaquinol 8","C50H72O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C50H72O2/c1-38(2)19-12-20-39(3)21-13-22-40(4)23-14-24-41(5)25-15-26-42(6)27-16-28-43(7)29-17-30-44(8)31-18-32-45(9)35-36-46-37-49(51)47-33-10-11-34-48(47)50(46)52/h10-11,19,21,23,25,27,29,31,33-35,37,51-52H,12-18,20,22,24,26,28,30,32,36H2,1-9H3/b",,,,,,,,,,
"2-Demethylmenaquinone 8","C50H70O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C50H70O2/c1-38(2)19-12-20-39(3)21-13-22-40(4)23-14-24-41(5)25-15-26-42(6)27-16-28-43(7)29-17-30-44(8)31-18-32-45(9)35-36-46-37-49(51)47-33-10-11-34-48(47)50(46)52/h10-11,19,21,23,25,27,29,31,33-35,37H,12-18,20,22,24,26,28,30,32,36H2,1-9H3/b39-21+",,,,,,,,,,
"2-dodecanoyl-sn-glycerol 3-phosphate","C15H31O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H31O7P/c1-2-3-4-5-6-7-8-9-10-11-15(17)22-14(12-16)13-21-23(18,19)20/h14,16H,2-13H2,1H3,(H2,18,19,20)",,,,,,,,,,
"2-hexadec-9-enoyl-sn-glycerol 3-phosphate","C19H37O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H37O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(21)26-18(16-20)17-25-27(22,23)24/h7-8,18,20H,2-6,9-17H2,1H3,(H2,22,23,24)/b8-7-",,,,,,,,,,
"2-hexadecanoyl-sn-glycerol 3-phosphate","C19H39O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H39O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(21)26-18(16-20)17-25-27(22,23)24/h18,20H,2-17H2,1H3,(H2,22,23,24)",,,,,,,,,,
"2-octadec-11-enoyl-sn-glycerol 3-phosphate","C21H41O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H41O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(23)28-20(18-22)19-27-29(24,25)26/h7-8,20,22H,2-6,9-19H2,1H3,(H2,24,25,26)/b8-7-",,,,,,,,,,
"2-octadecanoyl-sn-glycerol 3-phosphate","C21H43O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H43O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(23)28-20(18-22)19-27-29(24,25)26/h20,22H,2-19H2,1H3,(H2,24,25,26)",,,,,,,,,,
"2-tetradec-7-enoyl-sn-glycerol 3-phosphate","C17H33O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H33O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(19)24-16(14-18)15-23-25(20,21)22/h7-8,16,18H,2-6,9-15H2,1H3,(H2,20,21,22)/b8-7-",,,,,,,,,,
"2-tetradecanoyl-sn-glycerol 3-phosphate","C17H35O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H35O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(19)24-16(14-18)15-23-25(20,21)22/h16,18H,2-15H2,1H3,(H2,20,21,22)",,,,,,,,,,
"5'-Deoxyadenosine","C10H13N5O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H13N5O3/c1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15/h2-4,6-7,10,16-17H,1H3,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"5,10-Methenyltetrahydrofolate","C20H22N7O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C20H21N7O6/c21-20-24-16-15(18(31)25-20)27-9-26(8-12(27)7-22-16)11-3-1-10(2-4-11)17(30)23-13(19(32)33)5-6-14(28)29/h1-4,9,12-13H,5-8H2,(H6-,21,22,23,24,25,28,29,30,31,32,33)/p+1/t12-,13+/m1/s1",,,,,,,,,,
"5-Amino-6-(5'-phosphoribitylamino)uracil","C9H17N4O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H17N4O9P/c10-5-7(12-9(18)13-8(5)17)11-1-3(14)6(16)4(15)2-22-23(19,20)21/h3-4,6,14-16H,1-2,10H2,(H2,19,20,21)(H3,11,12,13,17,18)",,,,,,,,,,
"5-Phosphoribosyl-5-carboxyaminoimidazole","C9H11N3O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H14N3O9P/c13-6-4(2-20-22(17,18)19)21-8(7(6)14)12-3-10-1-5(12)11-9(15)16/h1,3-4,6-8,11,13-14H,2H2,(H,15,16)(H2,17,18,19)/p-3",,,,,,,,,,
