Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"2-Ketobutyric acid","C4H6O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",,,,,,,,,,
"Deoxyuridine","C9H12N2O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",,,,,,,,,,
"Deoxycytidine","C9H13N3O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1",,,,,,,,,,
"a-Ketoisovaleric acid","C5H8O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",,,,,,,,,,
"3-Hydroxyisobutyric acid","C4H8O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)",,,,,,,,,,
"Biotin","C10H16N2O3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1",,,,,,,,,,
"Adenine","C5H5N5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",,,,,,,,,,
"Acetic acid","C2H4O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",,,,,,,,,,
"Adenosine monophosphate","C10H14N5O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Melibiose","C12H22O11",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5+,6-,7+,8+,9-,10-,11?,12+/m1/s1",,,,,,,,,,
"Adenosine","C10H13N5O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Ammonia","H3N",0.00000,"[M+H]+","[M-H]-","InChI=1S/H3N/h1H3",,,,,,,,,,
"Cellobiose","C12H22O11",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12+/m1/s1",,,,,,,,,,
"beta-Alanine","C3H7NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",,,,,,,,,,
"Cyclic AMP","C10H12N5O6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Adenosine 3',5'-diphosphate","C10H15N5O10P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Carnitine","C7H16NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1",,,,,,,,,,
"Deoxyinosine","C10H12N4O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1",,,,,,,,,,
"cis-Aconitic acid","C6H6O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-",,,,,,,,,,
"Cysteinylglycine","C5H10N2O3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",,,,,,,,,,
"Cytidine triphosphate","C9H16N3O14P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Deoxyguanosine","C10H13N5O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",,,,,,,,,,
"Glycerophosphocholine","C8H21NO6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/p+1/t8-/m1/s1",,,,,,,,,,
"Cytidine","C9H13N3O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Uric acid","C5H4N4O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)",,,,,,,,,,
"Uridine diphosphate-N-acetylglucosamine","C17H27N3O17P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1",,,,,,,,,,
"Xanthine","C5H4N4O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",,,,,,,,,,
"Xanthosine 5-triphosphate","C10H15N4O15P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H15N4O15P3/c15-5-3(1-26-31(22,23)29-32(24,25)28-30(19,20)21)27-9(6(5)16)14-2-11-4-7(14)12-10(18)13-8(4)17/h2-3,5-6,9,15-16H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H2,12,13,17,18)/t3-,5-,6-,9-/m1/s1",,,,,,,,,,
"ADP","C10H15N5O10P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Thymidine 5'-triphosphate","C10H17N2O14P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H17N2O14P3/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(24-8)4-23-28(19,20)26-29(21,22)25-27(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,19,20)(H,21,22)(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1",,,,,,,,,,
"GDP-4-Dehydro-6-deoxy-D-mannose","C16H23N5O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C16H23N5O15P2/c1-4-7(22)9(24)11(26)15(33-4)35-38(30,31)36-37(28,29)32-2-5-8(23)10(25)14(34-5)21-3-18-6-12(21)19-16(17)20-13(6)27/h3-5,8-11,14-15,23-26H,2H2,1H3,(H,28,29)(H,30,31)(H3,17,19,20,27)/t4-,5-,8-,9+,10-,11+,14-,15-/m1/s1",,,,,,,,,,
"PG(16:0/16:1(9Z))","C38H73O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H73O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37(41)45-33-36(34-47-49(43,44)46-32-35(40)31-39)48-38(42)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h13,15,35-36,39-40H,3-12,14,16-34H2,1-2H3,(H,43,44)/b15-13-/t35-,36+/m0/s1",,,,,,,,,,
"PG(16:0/18:1(11Z))","C40H77O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C40H77O10P/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-39(43)47-35-38(36-49-51(45,46)48-34-37(42)33-41)50-40(44)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2/h13,15,37-38,41-42H,3-12,14,16-36H2,1-2H3,(H,45,46)/b15-13-/t37-,38+/m0/s1",,,,,,,,,,
"PG(16:1(9Z)/16:0)","C38H73O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H73O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37(41)45-33-36(34-47-49(43,44)46-32-35(40)31-39)48-38(42)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h14,16,35-36,39-40H,3-13,15,17-34H2,1-2H3,(H,43,44)/b16-14-/t35-,36+/m0/s1",,,,,,,,,,
"PG(16:1(9Z)/16:1(9Z))","C38H71O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H71O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37(41)45-33-36(34-47-49(43,44)46-32-35(40)31-39)48-38(42)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h13-16,35-36,39-40H,3-12,17-34H2,1-2H3,(H,43,44)/b15-13-,16-14-/t35-,36-/m1/s1",,,,,,,,,,
"Vaccenic acid","C18H34O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)/b8-7-",,,,,,,,,,
"Phosphonoacetate","C2H5O5P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H5O5P/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H2,5,6,7)",,,,,,,,,,
"PG(16:0/18:0)","C40H79O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C40H79O10P/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-39(43)47-35-38(36-49-51(45,46)48-34-37(42)33-41)50-40(44)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2/h37-38,41-42H,3-36H2,1-2H3,(H,45,46)/t37-,38+/m0/s1",,,,,,,,,,
"7-Aminomethyl-7-carbaguanine","C7H9N5O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H9N5O/c8-1-3-2-10-5-4(3)6(13)12-7(9)11-5/h2H,1,8H2,(H4,9,10,11,12,13)",,,,,,,,,,
"Citric acid","C6H8O7",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",,,,,,,,,,
"Cytidine monophosphate","C9H14N3O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Choline","C5H14NO",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",,,,,,,,,,
"L-Cystathionine","C7H14N2O4S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1",,,,,,,,,,
"Deoxyadenosine","C10H13N5O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1",,,,,,,,,,
"Galactitol","C6H14O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-",,,,,,,,,,
"Ethanol","C2H6O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,,,,,,,,,
"Glycerylphosphorylethanolamine","C5H14NO6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H14NO6P/c7-2-1-6(13(10,11)12)3-5(9)4-8/h5,7-9H,1-4H2,(H2,10,11,12)",,,,,,,,,,
"Glyoxylic acid","C2H2O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",,,,,,,,,,
"Folic acid","C19H19N7O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1",,,,,,,,,,
"D-Glucose","C6H12O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,,,,,,
"Glycine","C2H5NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,,,,,,,,,
"Fructose 6-phosphate","C6H13O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h4-7,9-11H,1-2H2,(H2,12,13,14)/t4-,5-,6-/m1/s1",,,,,,,,,,
"Glutathione","C10H17N3O6S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1",,,,,,,,,,
"Glycerol 3-phosphate","C3H9O6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1",,,,,,,,,,
"Glycerol","C3H8O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",,,,,,,,,,
"Guanine","C5H5N5O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",,,,,,,,,,
"Guanosine","C10H13N5O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",,,,,,,,,,
"Formic acid","CH2O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",,,,,,,,,,
"D-Galactose","C6H12O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6?/m1/s1",,,,,,,,,,
"L-Glutamate","C5H9NO4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",,,,,,,,,,
"Ethanolamine","C2H7NO",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",,,,,,,,,,
"Gluconolactone","C6H10O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1",,,,,,,,,,
"L-Malic acid","C4H6O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",,,,,,,,,,
"Hypoxanthine","C5H4N4O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",,,,,,,,,,
"L-Tyrosine","C9H11NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,,,,,,,,,
"L-Phenylalanine","C9H11NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",,,,,,,,,,
"Inositol","C6H12O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H",,,,,,,,,,
"L-Alanine","C3H7NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",,,,,,,,,,
"L-Proline","C5H9NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",,,,,,,,,,
"D-Maltose","C12H22O11",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8+,9-,10-,11+,12-/m1/s1",,,,,,,,,,
"L-Homocysteine","C4H9NO2S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)/t3-/m0/s1",,,,,,,,,,
"L-Threonine","C4H9NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",,,,,,,,,,
"L-Asparagine","C4H8N2O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",,,,,,,,,,
"L-Isoleucine","C6H13NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",,,,,,,,,,
"Fumaric acid","C4H4O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",,,,,,,,,,
"L-Histidine","C6H9N3O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",,,,,,,,,,
"L-Lysine","C6H14N2O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",,,,,,,,,,
"alpha-Lactose","C12H22O11",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11+,12+/m1/s1",,,,,,,,,,
"L-Serine","C3H7NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",,,,,,,,,,
"Inosine triphosphate","C10H15N4O14P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H15N4O14P3/c15-6-4(1-25-30(21,22)28-31(23,24)27-29(18,19)20)26-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,21,22)(H,23,24)(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"L-Lactic acid","C3H6O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1",,,,,,,,,,
"L-Aspartic acid","C4H7NO4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",,,,,,,,,,
"Inosine","C10H12N4O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Phenylpyruvic acid","C9H8O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)",,,,,,,,,,
"Pantothenic acid","C9H17NO5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)",,,,,,,,,,
"Myo-inositol 1-phosphate","C6H13O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)/t1-,2-,3+,4-,5-,6-/m0/s1",,,,,,,,,,
"Ornithine","C5H12N2O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1",,,,,,,,,,
"N-Acetyl-D-glucosamine","C8H15NO6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8+/m0/s1",,,,,,,,,,
"NADP","C21H29N7O17P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)",,,,,,,,,,
"Orotidylic acid","C10H13N2O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H13N2O11P/c13-5-1-3(9(16)17)12(10(18)11-5)8-7(15)6(14)4(23-8)2-22-24(19,20)21/h1,4,6-8,14-15H,2H2,(H,16,17)(H,11,13,18)(H2,19,20,21)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Palmitic acid","C16H32O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",,,,,,,,,,
"Oxalacetic acid","C4H4O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2,(H,6,7)(H,8,9)",,,,,,,,,,
"Oxoadipic acid","C6H8O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)",,,,,,,,,,
"Orotic acid","C5H4N2O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)",,,,,,,,,,
"Nicotinamide ribotide","C11H15NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C11H14NO9P/c13-8-7(5-20-22(17,18)19)21-10(9(8)14)12-3-1-2-6(4-12)11(15)16/h1-4,7-10,13-14H,5H2,(H2-,15,16,17,18,19)/p+1/t7-,8-,9-,10-/m1/s1",,,,,,,,,,
"Quinolinic acid","C7H5NO4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H5NO4/c9-6(10)4-2-1-3-8-5(4)7(11)12/h1-3H,(H,9,10)(H,11,12)",,,,,,,,,,
"Propionic acid","C3H6O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",,,,,,,,,,
"Pyridoxine","C8H11NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",,,,,,,,,,
"Sulfite","O3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)/p-2",,,,,,,,,,
"Pyruvic acid","C3H4O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",,,,,,,,,,
"Riboflavin","C17H20N4O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1",,,,,,,,,,
