,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,knockout,wildtype,ms_level,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,isotopes,adduct,pcgroup
FT71,127.0399074,127.0398524,127.0399807,5.620810986,4.620999813,5.637624741,10,5,5,1,8327.627,8120.430182,7994.046364,7718.2875,8238.88,8338.374,8535.18825,7301.573333,7960.993364,6624.342,,[M+Cl]- 92.0705 [M-H]- 128.047,11
FT301,195.0272084,195.0270622,195.0272573,5.620810986,4.620999813,5.637624741,10,5,5,1,5799.973091,6087.156727,6025.151727,5712.7125,5967.015636,5437.946818,5519.993818,4635.501,6528.8405,3603.056625,,[M+Cl+NaCOOH]- 92.0705 [M-H+NaCOOH]- 128.047,11
FT330,206.9724845,206.9724694,206.9725956,5.622550964,4.620999813,6.124584198,11,5,5,1,42341.4779,42307.25943,42258.0672,43126.59905,43606.40329,43624.61486,41211.872,36651.48714,43297.89429,32398.34474,,,11
FT45,113.9889641,113.9889285,113.9890315,5.879271507,5.320420265,6.145960331,10,5,5,1,41402.5782,39732.6504,39007.588,39942.53782,39624.86,39777.4356,40364.9724,34751.88291,40695.33015,31273.40084,[3][M+1]-,,11
FT1600,656.885027,656.8849037,656.8851337,5.883532047,5.111233711,6.145960331,10,5,5,1,1099010.683,1060544.682,1041293.233,1050968.608,1065160.866,1067784.25,1020917.317,864765.9833,1054634.624,795404.704,[229][M]-,[2M-2H+Na]- 317.955 [M-H+NaCOOH]- 589.905,11
FT46,114.9898078,114.9897594,114.9898557,6.124031544,5.320420265,6.145213604,10,5,5,1,15500.26222,15987.475,14661.19029,15347.3868,15303.464,15587.5367,14451.2394,11623.7815,14919.57129,11097.17867,[3][M+2]-,,11
FT41,112.9856451,112.9856057,112.9856813,6.131999969,5.320420265,6.145960331,11,5,5,1,1712953.07,1682228.506,1646906.852,1698556.285,1690095.66,1677590.077,1650772.773,1427341.2,1666905.185,1269811.846,[3][M]-,[M-H]- 113.993,11
FT241,180.9730429,180.9729441,180.9730991,6.131999969,5.320420265,6.145960331,11,5,5,1,597751.479,598580.178,576283.2373,594041.3894,600158.8233,592705.564,566760.7263,460651.4841,584007.3125,430481.1991,[17][M]-,[M-H+NaCOOH]- 113.993 [M-H]- 181.98,11
FT245,181.9762152,181.9761523,181.9764161,6.131999969,5.320420265,6.145960331,10,5,5,1,20461.0185,19806.56737,18952.52289,19083.84795,19821.38368,19715.91242,19621.21926,16172.4519,20281.95084,13818.29169,[17][M+1]-,,11
FT471,248.9604681,248.9603932,248.960544,6.131999969,5.320420265,6.145960331,10,5,5,1,1755236.535,1758963.012,1690285.442,1757657.098,1762464.421,1726935.264,1687740.058,1377802.36,1748775.69,1255206.705,[40][M]-,[2M-2H+Na]- 113.993 [M-H+NaCOOH]- 181.98 [M-H]- 249.968,11
FT486,249.9636951,249.9635563,249.9637502,6.131999969,5.320420265,21.33687782,11,5,5,1,80705.22133,80163.64943,75741.8955,77874.98057,81135.9939,78953.6244,75429.1218,60519.3336,78995.80665,56368.78839,[40][M+1]-,,11
FT489,250.9645333,250.9644398,250.9646169,6.131999969,5.320420265,6.145960331,10,5,5,1,28044.7494,27947.302,27239.86543,27768.8919,27716.15,27623.4441,27941.14743,20992.51263,27556.23015,19592.14138,[40][M+2]-,,11
FT739,316.9479128,316.9478643,316.9479524,6.131999969,5.320420265,6.145960331,10,5,5,1,1511880.619,1481209.031,1428551.054,1483423.841,1497561.57,1476108.467,1434245.773,1155009.745,1479672.886,1076456.986,[78][M]-,[M-H+NaCOOH]- 249.968 [M-H]- 317.955,11
FT754,317.9510142,317.9509777,317.9510872,6.131999969,5.320420265,6.145960331,10,5,5,1,79681.6386,79324.071,76702.18675,76833.7884,80163.64495,76993.4991,77104.8984,63687.57,78285.28455,59757.29811,[78][M+1]-,,11
FT759,318.9519279,318.9517646,318.9520004,6.131999969,5.320420265,6.145960331,10,5,5,1,29873.1377,29874.9116,28233.45758,30524.2695,29254.896,29705.0334,28850.505,22332.92232,30383.6634,20570.46212,[78][M+2]-,,11
FT1019,384.9353624,384.9353096,384.9354029,6.131999969,5.320420265,6.145960331,10,5,5,1,995730.5357,999506.0736,951433.26,990541.0467,994524.784,984940.4418,948936.1266,778253.8698,988548.4881,724362.3436,[134][M]-,[2M-2H+Na]- 181.98 [M-H+NaCOOH]- 317.955 [M-H]- 385.943,11
FT1021,385.938424,385.9383663,385.9384771,6.131999969,5.320420265,6.145960331,10,5,5,1,63174.93895,62984.16924,60027.70114,63426.278,64341.97943,62115.6774,61341.75771,49139.025,63858.51386,45132.89305,[134][M+1]-,,11
FT1022,386.9392747,386.9392076,386.9395036,6.131999969,5.320420265,6.145960331,10,5,5,1,22925.06378,23494.06526,22550.99416,22537.36832,22824.76158,24143.69,21899.80921,18172.29874,23118.07842,16639.208,[134][M+2]-,,11
FT1201,452.9227947,452.9227282,452.9228484,6.131999969,5.320420265,6.145960331,10,5,5,1,1271976.336,1259739.95,1213704.256,1245208.089,1262172.472,1251099.444,1211699.008,989510.5935,1258041.031,906543.1604,[162][M]-,[M-H+NaCOOH]- 385.943 [M-H]- 453.93,11
FT1223,453.9258569,453.925812,453.9258978,6.131999969,5.320420265,6.145960331,10,5,5,1,91692.6341,91490.0818,86241.7555,91555.6572,93094.386,90399.0759,89429.2488,69662.73,92536.6599,65357.55284,[162][M+1]-,,11
FT1230,454.9266638,454.9264288,454.9268011,6.131999969,5.320420265,6.145960331,10,5,5,1,35645.208,33390.4706,32697.666,33185.24325,34932.2179,33761.931,32280.445,27118.80105,33255.26358,23695.07647,[162][M+2]-,,11
FT1360,520.9102112,520.9101529,520.9102327,6.131999969,5.320420265,6.145960331,10,5,5,1,1264256.756,1250099.371,1198426.757,1240467.268,1260840.174,1237388.183,1199555.304,990930.8772,1243896.284,910008.8799,[186][M]-,[2M-2H+Na]- 249.968 [M-H+NaCOOH]- 453.93 [M-H]- 521.917,11
FT1362,521.9132652,521.9131296,521.9133283,6.131999969,5.320420265,6.145960331,10,5,5,1,104793.4646,104744.4226,103537.133,104825.7189,104803.732,103769.7318,100289.25,82102.7988,106725.8772,76530.23811,[186][M+1]-,,11
FT1363,522.9139981,522.9138351,522.9141427,6.131999969,5.320420265,6.145960331,10,5,5,1,36922.596,36622.98962,36108.978,37677.81324,37901.93,36574.47558,36526.4802,29665.3995,37577.826,26798.95447,[186][M+2]-,,11
FT1486,588.897621,588.8975167,588.8976914,6.131999969,5.320420265,6.145960331,10,5,5,1,1365559.707,1353514.513,1297896.208,1337562.291,1365668.7,1346047.853,1301895.753,1064129.26,1350928.404,971240.3003,[207][M]-,[M-H+NaCOOH]- 521.917 [M-H]- 589.905,11
FT1489,589.900714,589.900639,589.9007874,6.131999969,5.320420265,6.145960331,10,5,5,1,128208.6963,128125.8006,123733.1475,126843.4481,130376.972,127511.3889,125627.739,100877.5053,129775.3961,91804.63133,[207][M+1]-,,11
FT1491,590.9012642,590.9009933,590.9014193,6.131999969,5.320420265,6.145960331,10,5,5,1,48072.3684,48584.72048,46078.27075,48293.00124,47594.50819,48950.4981,46248.6084,36484.074,47920.82445,33782.4165,[207][M+2]-,,11
FT1605,657.8879437,657.8877803,657.8881171,6.131999969,5.320420265,6.145960331,10,5,5,1,105337.3683,105766.4404,100922.303,104973.0183,106299.468,104538.4977,104543.5326,85253.8797,107554.6512,77330.56358,[229][M+1]-,,11
FT1811,883.5081323,883.5074738,883.5089615,6.131999969,5.320420265,6.650352478,10,5,5,1,7605,7469.739429,6736.1935,7674.408,7419.538286,7315.911,7175.966769,6106.051929,7911.366071,5046.4065,,,11
FT1821,906.1706964,906.1702529,906.1714279,6.131999969,5.320420265,6.145960331,10,5,5,1,14712.34013,14213.475,13536.3346,14669.9696,14938.56187,14389.22447,14076.6924,11240.284,14967.68338,9668.557385,[271][M]3-,,11
FT249,182.977135,182.9770018,182.9773095,6.131999985,5.320420265,6.145960331,8,3,5,1,6003.894,6828.275429,6187.457214,5917.464,6557.945625,5975.443385,6566.800733,4581.806657,6364.467857,3910.113547,[17][M+2]-,,11
FT1653,690.8782307,690.8780158,690.878366,6.131999985,5.320420265,6.630000114,10,5,5,1,201495.2845,202300.8052,190776.1725,197046.2412,200016.234,199017.2457,189905.2008,161250.4179,201751.8912,147864.7936,,[M+Cl+NaCOOH]- 587.921 [M-H+NaCOOH]- 623.898 [M+Cl]- 655.909 [M-H]- 691.886,11
FT1658,691.3796669,691.379536,691.3799322,6.131999985,5.320420265,6.650352478,10,5,5,1,47912.514,48112.65789,44095.41141,47354.244,46571.07158,48137.52611,46050.43916,38478.47467,47838.95775,35633.479,,[M+Cl]- 656.41 [M-H]- 692.387,11
FT1846,951.4955589,951.4950268,951.4959006,6.131999985,5.320420265,6.626180649,10,5,5,1,29660.91313,30836.7,28910.44375,30694.104,31832.09167,29874.31875,29368.47681,24100.61563,31751.00911,21888.58227,[276][M]3-,,11
FT1822,906.5054182,906.5047532,906.5056839,6.135635614,5.320420265,6.650352478,8,3,5,1,7291.674,7104.707429,6584.329214,7053.112308,6974.002286,6810.100786,6369.099692,4447.336519,7199.823214,4397.422442,[271][M+1]3-,,11
FT1858,974.8262365,974.8255936,974.8268275,6.135635614,5.320420265,6.648434162,10,5,5,1,11786.80381,11405.1408,11305.78986,10979.136,11380.07653,11460.8342,11345.8686,9566.942,11241.1728,8608.927154,[278][M+2]3-,,11
FT1555,622.8906185,622.8904553,622.8909644,6.13563563,5.320420265,6.632433891,10,5,5,1,19934.38306,19137.82659,18313.57088,19448.7475,20330.71412,19283.58847,18775.49131,15364.9325,19133.37318,14086.37231,,[M+Cl]- 587.921 [M-H]- 623.898,11
FT1734,759.3670947,759.366889,759.3673412,6.13563563,6.018143654,6.630000114,10,5,5,1,82077.248,83792.2984,79552.14875,81238.6458,83572.10053,83151.7239,79495.6932,65531.9808,82378.1142,61575.84141,,[M+Cl+NaCOOH]- 656.41 [M-H+NaCOOH]- 692.387 [M+Cl]- 724.398 [M-H]- 760.374,11
FT1856,974.157987,974.1575192,974.1584143,6.13563563,5.320420265,6.650352478,10,5,5,1,36273.86682,36917.65412,35072.09647,36200.304,36818.09083,35654.93312,36292.58235,30000.69035,37630.33889,25988.96313,[278][M]3-,,11
FT1732,758.8657173,758.8655239,758.8658505,6.138606787,6.018143654,6.64070034,10,5,5,1,328553.8247,321970.5348,307099.6215,317248.605,324902.6,319755.4983,308194.542,254091.9348,320186.7279,235508.5378,,[M+Cl+NaCOOH]- 655.909 [M-H+NaCOOH]- 691.886 [M+Cl]- 723.896 [M-H]- 759.873,11
FT1879,1019.48278,1019.48246,1019.483066,6.142242432,5.320420265,6.650352478,10,5,5,1,41050.33333,40484.72647,38542.32947,40176.03765,40267.36833,41014.57533,38830.03453,32048.02938,40917.74956,28941.07381,[281][M]3-,,11
FT1857,974.4922528,974.4919472,974.4927063,6.142615795,5.547330379,6.648434162,10,5,5,1,19261.944,19124.196,17317.10827,18936.1848,18529.80938,18683.6625,18735.09713,14753.442,19480.83981,13320.796,[278][M+1]3-,,11
FT1836,929.5012197,929.5007932,929.501576,6.145213604,5.320420265,6.638338566,9,4,5,1,7005.726,7397.9976,6950.828357,7591.7244,6847.211429,6868.315429,7178.594143,4853.383525,7174.555357,4565.896364,[274][M+1]3-,,11
FT1606,658.8870342,658.8864271,658.887499,6.145586967,5.547330379,6.64070034,10,5,5,1,40856.66333,40107.90333,37586.34142,39039.3855,40298.34971,40921.7277,38405.106,31086.1881,38753.2701,28717.40667,[229][M+2]-,,11
FT1697,725.3734008,725.3730987,725.3736464,6.145586967,6.018143654,6.64070034,10,5,5,1,76126.7489,73342.3056,70148.89575,71839.22895,74882.434,73429.92721,71346.4032,58301.25558,73937.25315,55012.35133,[247][M+1]2-,,11
FT1937,1269.273325,1269.272726,1269.274345,6.145586967,6.018549919,6.638338566,8,3,5,1,5319.049846,5706.448231,5874.061538,5919.48,5987.963429,5906.585538,5700.076615,4222.171494,5922.280357,4103.646347,[292][M+1]2-,,11
FT1847,951.8299777,951.8298251,951.8304164,6.379090324,5.320420265,6.650352478,10,5,5,1,15977.091,15773.3472,15627.029,15979.8964,15804.65906,15254.83125,15140.44647,12804.836,16039.69033,11173.63414,[276][M+1]3-,,11
FT1834,929.1673801,929.1669335,929.1677802,6.382725954,6.018143654,6.650352478,10,5,5,1,11838.957,11607.7008,10728.70557,11986.5616,11735.4196,11350.42447,10843.0214,9293.196,11875.78773,8629.598714,[274][M]3-,,11
FT1778,826.853125,826.8529407,826.8532766,6.38607049,6.018143654,6.648434162,10,5,5,1,258496.6964,259721.6022,246864.276,256679.798,260580.892,255862.9038,245693.2722,200858.3082,261923.9157,181517.1824,,[M+Cl+NaCOOH]- 723.896 [M-H+NaCOOH]- 759.873,11
FT1864,997.1547466,997.154278,997.1553496,6.38607049,5.320420265,6.648434162,10,5,5,1,20257.692,21853.29375,19883.88133,21755.3375,21526.3125,20685.61807,20499.60613,16536.586,21124.1888,15486.0026,[279][M]3-,,11
FT1818,896.3439783,896.3434528,896.3443033,6.387980165,5.547330379,6.648434162,10,5,5,1,8302.632,8116.266286,8122.7124,8043.6668,8036.317714,8005.778929,7457.511857,6036.104615,8176.678571,5404.771077,,,11
FT1736,760.369003,760.3687236,760.3693174,6.628090324,6.018143654,6.650352478,10,5,5,1,7885.878,8350.0296,8120.183357,8146.5644,7895.382857,8057.884667,8198.766,6798.162214,8022.118867,5451.8175,[253][M+1]2-,,11
FT1758,793.3607332,793.3605746,793.3609284,6.628090324,6.018143654,6.64070034,10,5,5,1,77254.125,78315.91368,72616.76825,77497.6446,78482.624,77193.9147,75384.31847,60830.05411,80460.8163,55988.65871,,[M+Cl]- 758.391 [M-H]- 794.368,11
FT1780,827.8551839,827.8546723,827.8554648,6.628090324,6.018143654,6.650352478,10,5,5,1,34460.05556,35547.13167,33990.65618,34878.99606,35877.16474,34691.16589,34164.03617,27575.53256,35450.86244,25320.97375,[263][M]2-,,11
FT1838,930.3375216,930.3370501,930.3384407,6.628090324,6.018143654,6.650352478,10,5,5,1,7920.354,8335.488,8040.2015,7975.5728,8227.480933,8099.934786,8070.928714,6122.696385,8242.375,5968.776286,[275][M+1]2-,,11
FT1852,963.329375,963.328956,963.3296546,6.628090324,6.018143654,6.650352478,10,5,5,1,61434.711,60625.31533,59093.56611,61951.06089,61679.50895,60294.64567,60652.49984,48370.52789,62097.14474,44881.75475,,[M+Cl+NaCOOH]- 860.372 [M-H+NaCOOH]- 896.349 [M+Cl]- 928.36 [M-H]- 964.337,11
FT1815,894.8404545,894.8403663,894.8406887,6.628090382,6.018143654,6.650352478,10,5,5,1,222764.3016,225476.1598,216341.71,220465.8369,224757.61,222769.4586,217209.1068,172124.4492,225617.045,159288.5132,,,11
FT1848,952.1639056,952.1631964,952.1644838,6.628090382,5.320420265,6.650352478,10,5,5,1,9682.686,9170.353143,8991.884357,9215.388,9118.333714,9640.593,9291.699,7347.094714,9548.217857,6773.144308,[276][M+2]3-,,11
FT1880,1019.817295,1019.81672,1019.817557,6.628090382,6.018143654,6.648434162,10,5,5,1,21442.94931,22011.75,21517.77494,22314.84688,21705.69844,21735.52347,22075.79987,18003.986,23097.79853,15938.64486,[281][M+1]3-,,11
FT1935,1246.107448,1246.107058,1246.108474,6.63,6.124584198,6.648434162,5,2,3,1,5495.912308,5628.47546,5226.902,4848.705648,5244.295385,5213.318,5632.807929,3373.798575,5653.326,3320.073655,,,11
FT1604,657.3860005,657.3857041,657.3863038,6.630000057,6.018143654,6.650352478,10,5,5,1,19830.38113,19927.0125,18209.73235,19396.325,19941.91676,19632.88125,18569.52781,15738.08375,19498.78588,14100.33573,,,11
FT1659,691.8801758,691.8798398,691.8804206,6.630000057,6.018143654,6.650352478,10,5,5,1,22394.97794,22524.075,21719.28731,22687.56,23083.64206,22578.24375,21950.33,17708.73353,22758.69176,16157.35087,,,11
FT1693,724.8723817,724.8722598,724.8725291,6.630000057,5.320420265,6.650352478,10,5,5,1,1011289.324,1011581.475,980854.6947,1019731.742,1017196.114,1002640.783,975197.0244,828370.7487,1007998.399,754647.732,[247][M]2-,,11
FT1698,725.8749856,725.8747906,725.8751708,6.630000057,6.018143654,6.650352478,10,5,5,1,111669.5631,111906.6464,105959.398,111817.9004,113288.34,111193.7127,107857.7454,89392.545,110833.8674,83054.76253,[247][M+2]2-,,11
FT1735,759.8677583,759.8675096,759.8679663,6.630000057,6.018143654,6.650352478,10,5,5,1,38566.476,39964.51789,37817.69289,39177.77211,40033.74263,38740.37556,38727.95079,31149.79676,37845.65822,29032.91718,[253][M]2-,,11
FT1779,827.3544974,827.3542855,827.3546529,6.630000057,6.018143654,6.650352478,10,5,5,1,70028.868,72336.83053,70458.99963,70398.44968,72040.60632,71133.01126,69334.16484,56377.00505,73572.04011,51729.61412,,[M+Cl+NaCOOH]- 724.398 [M-H+NaCOOH]- 760.374 [M+Cl]- 792.385 [M-H]- 828.362,11
FT1816,895.3417477,895.3415228,895.3420794,6.630000057,6.018143654,6.650352478,10,5,5,1,67420.353,67457.46526,63580.46411,66082.01084,67955.85053,68386.02737,62275.73642,52195.16926,66565.10695,47402.29129,,[M+Cl+NaCOOH]- 792.385 [M-H+NaCOOH]- 828.362 [M+Cl]- 860.372 [M-H]- 896.349,11
FT1854,964.3316205,964.3307683,964.3320559,6.630000057,6.018143654,6.648434162,10,5,5,1,8252.439,7407.394154,7998.185714,7952.616,7656.450286,8165.236429,7371.108,6243.158571,8440.984933,5629.7535,,,388
FT1866,997.4885057,997.4879658,997.4890446,6.630000057,5.547330379,6.650352478,10,5,5,1,13201.266,13660.6464,12726.73336,13428.6412,13358.47307,12230.13714,12765.0488,10289.57529,13330.45047,9610.952308,[279][M+1]3-,,11
FT1881,1020.151144,1020.150536,1020.151612,6.630000057,5.547330379,6.648434162,10,5,5,1,13852.761,13285.44343,13160.53633,13259.1628,13821.986,14023.55553,13262.84733,10248.59507,13062.97679,9869.765429,[281][M+2]3-,,11
FT1884,1030.815451,1030.815153,1030.815661,6.630000057,6.018143654,6.650352478,10,5,5,1,142912.146,143987.0714,138845.1542,141020.5109,138562.028,140406.5179,139921.9833,114470.928,143595.8885,102361.6681,,[M-H+NaCOOH]- 963.84,11
FT1890,1042.144997,1042.14461,1042.145662,6.630000057,6.018143654,6.650352478,10,5,5,1,38773.26706,39638.41412,37868.13882,38763.144,39823.24667,38804.81429,38176.869,32244.47429,39578.45824,27167.69519,[284][M]3-,,11
FT1891,1042.479693,1042.479149,1042.479925,6.630000057,6.018143654,6.650352478,10,5,5,1,21248.79225,21443.508,20439.98173,20894.77,21488.91938,21343.0118,21286.42869,17648.268,21426.33827,16418.7116,[284][M+1]3-,,11
FT1892,1042.813597,1042.81321,1042.814031,6.630000057,6.018143654,6.650352478,10,5,5,1,13375.674,13399.344,12912.514,13350.9636,13385.76827,13200.5472,13643.5168,10227.852,13795.23929,9876.337857,[284][M+2]3-,,11
FT1905,1087.804317,1087.803864,1087.804558,6.630000057,6.018143654,6.650352478,10,5,5,1,17985.825,18443.088,16986.38553,18468.606,18437.8425,18421.71207,17658.7214,14590.51,18449.81233,13391.07043,[285][M+1]3-,,11
FT1912,1110.132253,1110.132117,1110.132972,6.630000057,6.018143654,6.650352478,10,5,5,1,26008.086,26319.25059,25299.423,26770.75938,26804.77147,25752.762,24971.2102,20821.9,26185.60969,18930.70673,[287][M]3-,,11
FT1888,1032.318707,1032.317865,1032.31921,6.630000114,5.320420265,6.650352478,9,4,5,1,7507.149,6988.261714,6856.166286,6685.56,6414.915077,6986.707667,6512.497846,5452.749538,7071.967857,4088.702753,,,389
FT1760,794.3627083,794.3621832,794.3636117,6.631216946,6.018143654,6.650352478,10,5,5,1,8143.434,8344.4592,7769.883071,8307.9724,8180.472533,8571.948333,7827.381,6129.785769,7871.5494,5706.945077,[259][M+1]2-,,11
FT1929,1201.116757,1201.115982,1201.117699,6.631216946,6.018549919,6.650352478,8,3,5,1,5577.604083,5705.941846,5559.090308,5718.112923,6238.514286,6189.988286,5990.912308,5197.27247,6027.588,3385.128515,,[M+Cl+NaCOOH]- 1098.16 [M-H+NaCOOH]- 1134.14,11
FT1755,792.8598135,792.8596719,792.8599727,6.631217003,6.018143654,6.650352478,10,5,5,1,720103.6607,716072.5448,686301.1533,706829.7911,720397.26,711320.5134,687143.0868,563803.6536,716537.7864,520928.4951,,[2M-2H+Na]- 385.943,11
FT1759,793.8621878,793.8620706,793.862442,6.631217003,6.018143654,6.650352478,10,5,5,1,84583.3616,86129.4238,82325.08475,84264.84135,85836.828,85701.9618,82797.7956,66777.5691,85864.52385,63695.36989,[259][M]2-,,11
FT1781,828.3561979,828.3560265,828.3571134,6.631217003,6.018143654,6.650352478,10,5,5,1,7842.783,7741.108571,7844.6622,7349.328,8192.603733,7723.1102,7895.089286,6575.047714,8794.6716,5873.191308,[263][M+1]2-,,11
FT1796,860.8473206,860.8472029,860.8474918,6.631217003,6.018143654,6.650352478,10,5,5,1,502651.1642,504174.6938,480557.6128,498898.5278,506474.122,500205.4533,488545.6464,390158.9505,505030.6188,364673.6248,,,11
FT1798,861.3482282,861.3481081,861.3484125,6.631217003,6.018143654,6.650352478,10,5,5,1,68110.38,70860.92,66899.03637,67306.99389,69025.08947,67145.17637,67294.895,52841.13158,69887.39895,49681.26706,,[M+Cl+NaCOOH]- 758.391 [M-H+NaCOOH]- 794.368 [M+Cl]- 826.379 [M-H]- 862.355,11
FT1799,861.8496385,861.8494058,861.8498702,6.631217003,6.018143654,6.650352478,10,5,5,1,67068.4459,66092.003,64310.12225,64755.2376,65643.886,66429.32026,63365.145,49342.632,65102.72445,46453.47671,[268][M]2-,,11
FT1800,862.3502504,862.3500128,862.3507621,6.631217003,6.018143654,6.650352478,10,5,5,1,7843.797,8306.4792,7348.712786,7650.72,8341.210933,7966.294214,7733.397857,6352.439143,8035.683929,5603.4675,[268][M+1]2-,,386
FT1817,895.84259,895.8422887,895.8428736,6.631217003,6.018143654,6.650352478,10,5,5,1,33363.02778,34694.46633,33135.57956,32814.02794,33986.43583,33837.58156,32494.18489,25401.76412,34494.05611,23797.4665,[270][M]-,[M+Cl]- 860.873 [M-H]- 896.85,11
FT1832,928.8347748,928.8346149,928.8349204,6.631217003,6.018143654,6.650352478,10,5,5,1,407392.9955,413394.3044,393286.1413,402958.6956,406589.722,401952.2115,391312.254,313992.261,408094.8872,289876.3159,,[2M-2H+Na]- 453.93,11
FT1835,929.3356187,929.335439,929.3358113,6.631217003,6.018143654,6.650352478,10,5,5,1,64879.269,65237.77684,62789.82742,64910.48526,64602.97211,65365.66137,63397.10763,50867.92889,67689.04632,45857.97288,,[M+Cl+NaCOOH]- 826.379 [M-H+NaCOOH]- 862.355 [M+Cl]- 894.366 [M-H]- 930.343,11
FT1837,929.8369991,929.8366662,929.8372105,6.631217003,6.018143654,6.650352478,10,5,5,1,56612.127,59033.88947,54415.85747,56835.3726,57474.37526,57049.27647,57161.15274,45757.76842,58072.39063,42168.07069,[275][M]2-,,11
FT1851,962.8279319,962.8277756,962.8281335,6.631217003,6.018143654,6.650352478,10,5,5,1,187328.9502,192809.6095,181931.8648,189300.9159,190723.544,188995.6308,189905.7054,150902.4924,196122.2922,137726.1729,,[M-H]- 963.84,11
FT1853,963.829972,963.8296229,963.8302144,6.631217003,6.018143654,6.650352478,10,5,5,1,31540.05556,32369.89,30383.66024,32200.01656,31832.5975,31923.69124,31289.38744,25032.68471,31555.40211,23547.08931,[277][M]-,[M+Cl+NaCOOH]- 860.873 [M-H+NaCOOH]- 896.85 [M+Cl]- 928.861 [M-H]- 964.837,11
FT1862,996.8221859,996.8220467,996.8223074,6.631217003,6.018143654,6.650352478,10,5,5,1,318187.2128,317432.958,301172.1668,307406.2811,315379.68,311194.3943,305967.2376,246493.6947,312011.681,224102.0203,,,11
FT1865,997.3230312,997.3228798,997.3234055,6.631217003,6.018143654,6.650352478,10,5,5,1,55916.523,55169.57367,53466.28856,55029.33217,55702.59474,55718.31063,54771.32389,44721.90547,57780.38711,41219.67225,,[M+Cl+NaCOOH]- 894.366 [M-H+NaCOOH]- 930.343 [M+Cl]- 962.354 [M-H]- 998.33,11
FT1867,997.8243931,997.8241754,997.8247785,6.631217003,6.018143654,6.650352478,10,5,5,1,48474.27,47990.12947,46826.74137,46818.88983,47010.6325,47504.19089,47025.47611,38364.74967,47695.66084,34584.42388,,[M+Cl]- 962.855 [M-H]- 998.832,11
FT1868,998.3249302,998.3239316,998.3252737,6.631217003,6.018143654,6.650352478,10,5,5,1,7299.786,7688.454857,7117.742154,7499.9236,7298.304,6749.861286,7321.084714,5621.882,7748.641071,5674.743,,[M+Cl]- 963.356 [M-H]- 999.332,11
FT1885,1031.316786,1031.316306,1031.31707,6.631217003,6.018143654,6.650352478,10,5,5,1,49280.06944,49255.91895,49146.34168,47565.38539,49134.12083,48317.63228,48497.38917,39746.63478,49516.87589,36122.09388,,[M+Cl+NaCOOH]- 928.36 [M-H+NaCOOH]- 964.337 [M+Cl]- 996.347 [M-H]- 1032.32,11
FT1887,1031.817382,1031.816768,1031.818061,6.631217003,6.018143654,6.650352478,10,5,5,1,25973.69224,25110.30529,23975.92213,24832.135,24648.94324,26035.13524,25287.06775,20393.71635,25385.30425,18410.0074,[283][M]-,[M+Cl+NaCOOH]- 928.861 [M-H+NaCOOH]- 964.837 [M+Cl]- 996.848 [M-H]- 1032.82,11
FT1895,1064.809617,1064.809467,1064.809756,6.631217003,6.018143654,6.650352478,10,5,5,1,210623.0328,215320.2692,205133.4135,208011.9753,208064.164,209362.5976,207253.2307,166956.2928,213904.548,150370.2305,,[2M-2H+Na]- 521.917,11
FT1896,1065.141927,1065.141475,1065.142295,6.631217003,6.018143654,6.650352478,10,5,5,1,20596.87063,20503.6296,19186.47673,19514.27563,20214.11747,19911.737,19598.924,16008.828,20158.79913,14399.68543,,[M+Cl]- 1030.17 [M-H]- 1066.15,11
FT1897,1065.310534,1065.310035,1065.310616,6.631217003,6.018143654,6.650352478,10,5,5,1,41836.60417,43408.463,40140.50756,42072.59039,42261.36333,41375.55139,41755.37094,34262.70353,43577.39822,31381.11331,,[M+Cl+NaCOOH]- 962.354 [M-H+NaCOOH]- 998.33 [M+Cl]- 1030.34 [M-H]- 1066.32,11
FT1898,1065.47601,1065.475571,1065.476748,6.631217003,6.018143654,6.650352478,10,5,5,1,13011.648,12497.66286,12739.15607,12198.4096,12662.44547,12770.05053,12860.4686,10261.74921,13376.935,8611.698,,[M+Cl]- 1030.51 [M-H]- 1066.49,11
FT1899,1065.81177,1065.811435,1065.812115,6.631217003,6.018143654,6.650352478,10,5,5,1,35489.15278,34836.746,34629.39667,34134.173,34204.05529,35120.48944,34630.09989,28587.90006,34186.74589,24626.999,,[M+Cl+NaCOOH]- 962.855 [M-H+NaCOOH]- 998.832 [M+Cl]- 1030.84 [M-H]- 1066.82,11
FT1904,1087.469999,1087.469278,1087.470353,6.631217003,6.018143654,6.650352478,10,5,5,1,31325.18894,31483.30033,30099.49724,30573.40688,30347.93382,31063.29765,30659.913,24727.085,30844.87369,23126.12787,[285][M]3-,,11
FT1906,1088.138725,1088.137823,1088.139665,6.631217003,5.547330379,6.650352478,10,5,5,1,11627.031,11129.67886,10787.93264,10974.6,10803.49029,11372.61014,11426.53114,9401.670643,11960.67253,8025.802077,[285][M+2]3-,,11
FT1909,1098.802752,1098.802605,1098.803057,6.631217003,6.018143654,6.650352478,10,5,5,1,93244.905,90919.12632,87419.74689,89285.076,90824.11,89581.24074,90039.898,73342.228,91667.76716,66126.71224,,[M+Cl]- 1063.83 [M-H]- 1099.81,11
