,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,knockout,wildtype,ms_level,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,isotopes,adduct,pcgroup
FT1475,580.8657428,580.8647411,580.8669214,1636.44928,1636.184204,1636.910278,8,3,5,1,3230.933333,3534.417333,2828.301333,2732.764,2639.296,2760.912,2837.7084,2198.9088,3334.417603,2496.575562,,[3M+2Cl]2- 363.919,23
FT1359,520.9102006,520.8376998,520.9115593,1636.687988,1636.184204,1637.692261,11,5,5,1,120679.272,122265.8185,114838.494,142500.4627,137074.755,144372.4632,139224.9486,80838.76978,149196.9999,86187.79,,[M-H+CF3COOH]- 407.923,23
FT27,102.9494309,102.9325118,102.9576334,1636.688538,1633.655029,1640.210693,30,5,5,1,7727.51,7618.854,7631.0676,9154.147833,7098.624,8891.568,9093.03,6238.5372,8985.391333,7367.124,,,23
FT1487,588.8978055,588.8964801,588.8991702,1636.688538,1636.184204,1637.450195,10,5,5,1,118791.792,117787.4476,110314.8378,134223.6266,115644.0125,130083.6111,135255.1149,74966.29412,131610.4674,82060.99675,,[M-H]- 589.905,23
FT1789,850.8178316,850.8160013,850.8203199,1636.688538,1636.184204,1636.910278,10,5,5,1,4687.882333,4053.327667,4444.689667,3657.4668,3986.774,4051.152,4688.42,3042.9344,4585.394667,3334.7088,,[2M+Cl]- 407.923,23
FT154,157.9005758,157.8713326,157.9314549,1636.689087,1634.160034,1641.248901,27,5,5,1,39984.74,39867.465,34586.7075,41160.6415,43815.38346,43528.27703,35183.61485,29845.99885,41744.18571,41131.86589,,[M-H+NaCOOH]- 90.927,23
FT1757,792.8601968,792.8583018,792.8616176,1636.689087,1636.186157,1637.450195,7,4,3,1,43600.36129,33861.79166,42064.69714,52104.37506,48672.6572,49578.8563,44989.83943,28214.538,56708.98388,32133.64943,,[M-H+CF3COOH]- 679.873,23
FT1769,808.8326483,808.8309198,808.8359492,1636.689087,1636.210571,1636.69812,5,2,3,1,3223.865667,3485.7702,3592.870667,2982.899854,3303.837109,4066.82002,3250.4568,2622.602368,3501.96,4549.891144,,[M-H-CO]- 837.833,23
FT1678,714.8432374,714.8414426,714.8449141,1636.691956,1636.186157,1637.450195,10,5,5,1,8799.12,9145.342714,8556.421286,9024.624,8759.982857,9360.493,8882.961429,6883.148667,8831.686714,7616.676857,,[M+Cl]- 679.873,23
FT1750,782.8305043,782.8286631,782.8326389,1636.691956,1636.184204,1636.910278,10,5,5,1,6536.72,6200.300333,5753.434667,5891.76,6053.893333,6419.258571,5636.305,4285.752,5714.814667,4559.8584,,[M+Cl+NaCOOH]- 679.873,23
FT145,155.8740708,155.8737343,155.8744227,1636.695912,1636.68689,1636.910278,10,5,5,1,50432.573,51334.9544,43748.36114,47039.39556,56072.17,56857.55794,54284.35429,38398.1392,54002.565,53898.87793,,,23
FT691,308.9160848,308.9152834,308.9168171,1636.695912,1636.68689,1636.910278,10,5,5,1,4075.35,3961.158429,4384.957714,4190.288143,3593.425333,4688.477714,4170.624857,2817.7936,4004.261333,3302.114833,,,23
FT1713,740.8457715,740.8438111,740.847806,1636.695912,1636.68689,1637.450195,10,5,5,1,4231.63,5003.013857,4796.804571,4538.495667,4640.476,4439.96,4556.615,3394.388,4692.956571,3269.300667,,,23
FT543,267.7474533,267.7468093,267.7481225,1636.697,1636.68689,1637.203003,5,2,3,1,2831.2155,2449.7316,2549.232,2124.36,2439.4734,2360.9496,1283.4675,1320.138,2734.214,2164.824,,,397
FT171,159.8690931,159.8686172,159.9470272,1636.69756,1636.184204,1641.248901,16,5,5,1,8243.115,8209.379143,6643.078667,7292.168125,7934.110625,8082.09,7023.572571,5981.309333,7691.709,7604.530143,,[M+Cl]- 124.905,23
FT435,240.9288111,240.9280684,240.9293279,1636.69756,1636.68689,1637.450195,10,5,5,1,3855.917,4663.58,4140.676,4402.652571,3646.485333,4737.255,3619.335,3118.335333,3908.753333,3080.997833,,,23
FT1581,646.8558074,646.8542824,646.8571111,1636.69756,1636.68689,1637.450195,10,5,5,1,9223.32,9420.862286,9781.146375,9145.83575,9554.759375,9519.4105,9901.176,7669.94,9756.7095,7418.021,,[3M+2Cl]2- 407.923,23
FT487,249.9639127,249.9632272,249.9642516,1636.69812,1636.687988,1637.203003,5,2,3,1,12369.68345,17792.45,12576.5872,12239.9735,13696.02516,14174.36909,13328.867,9132.387329,13064.7176,10915.51175,[39][M+1]-,,23
FT1343,510.8810366,510.879697,510.8823558,1636.698486,1636.68689,1637.450195,10,5,5,1,9559.490625,9785.486,9474.839,10099.77933,9659.157,9463.9155,9400.96875,7458.345,9919.624,7297.841571,,[M+Cl+NaCOOH]- 407.923,23
FT1255,468.8964547,468.8950802,468.8977051,1636.698853,1636.68689,1637.223145,9,4,5,1,3577.077333,3853.17,3360.672,3883.089375,3829.117286,4206.107429,4422.36,3314.739955,3832.448,3332.864571,,[M-H]- 469.899,23
FT78,129.9756969,129.975384,129.9760084,1636.709595,1636.69812,1637.203003,4,3,1,1,8394.483733,3250.937095,8332.046667,7749.6187,6792.221569,7967.452211,8855.824444,10338.12299,7831.964,6994.273556,,,23
FT982,374.90638,374.9055147,374.9075377,1636.709595,1636.68689,1637.450195,10,5,5,1,7443.7,8424.062,7403.858,8140.444333,7725.4085,7504.4375,8002.761333,6073.837714,7879.053,6561.640286,,[M+2Cl]2- 679.873,23
FT1179,442.8936392,442.8923608,442.8946896,1636.709595,1636.68689,1637.450195,10,5,5,1,8782.10325,8855.28,8847.0855,8375.028625,8818.389333,8667.8145,8765.313333,7279.575,8990.961,6948.689143,,[M+Cl]- 407.923,23
FT1474,578.8683759,578.867045,578.869884,1636.709595,1636.68689,1637.450195,10,5,5,1,10579.84312,9601.252,9491.491625,10001.84,10042.9735,10453.24,9777.0075,7533.59,9944.1145,7772.810143,,,23
FT1625,672.8582628,672.8570215,672.8600249,1636.709595,1636.689087,1637.450195,10,5,5,1,5685.29,5668.584,5769.377625,5184.516857,5736.361714,6167.48175,5506.476857,4017.146667,5419.777714,4723.916143,[233][M]-,,23
FT1842,940.7906809,940.7876998,940.7938425,1636.956726,1636.68689,1637.203003,8,3,5,1,3263.174667,2975.385,3043.152,2769.8376,3056.261333,2937.08,3163.32,1705.081475,3609.810857,2475.447491,,[M+Cl+NaCOOH]- 837.833,23
FT1524,604.871028,604.8696062,604.8725336,1636.960083,1636.68689,1637.692261,10,5,5,1,5718.62,6748.613875,5520.060143,5798.910857,6122.612,5836.1895,5927.527714,4244.751333,6258.714,4802.40125,[214][M]-,,23
FT1694,724.8711689,724.7994963,724.8741071,1637.194946,1636.195557,1637.692261,7,4,2,1,2471.857333,2405.8805,72118.24371,55563.27904,74697.18201,73637.78412,71229.93547,46279.76373,86670.51976,50105.66764,,[M-H+HCOOH]- 679.873,23
FT30,104.9545238,104.9542011,104.9547573,1637.195435,1636.689087,1637.450195,9,4,5,1,3627.415,3575.230286,5561.847652,4015.63,5212.74,5373.449818,3633.961714,3119.404167,3768.739714,4757.415065,,[M-3H]3- 317.882,23
FT496,253.7722959,253.7716346,253.7730592,1637.195435,1636.694824,1637.223145,9,4,5,1,6409.938889,5957.044286,4857.875,5818.830875,6624.085,6517.43125,5572.335,1478.267822,6643.78,3317.764667,,,23
FT1712,738.8248801,738.8221495,738.8266025,1637.195435,1636.68689,1637.223145,5,2,3,1,3360.834,1256.333182,3079.944,2693.790667,1978.43044,2457.8712,2533.104,1439.821737,1290.306315,666.3443197,,,23
FT511,257.76754,257.7670227,257.768168,1637.195679,1636.691772,1637.203003,8,3,5,1,5845.3065,5654.528,4867.108125,4565.583,6349.637,5999.5665,4702.239429,1349.658366,5977.884,3391.464028,,[M+Cl]- 222.804,23
FT1397,536.8835241,536.8821881,536.8851246,1637.195679,1636.691772,1637.450195,10,5,5,1,4072.155333,5137.468,5215.804,4750.708286,5073.7565,4891.225,4828.453714,3841.611429,5054.94,3554.026667,,[M-H+NaCOOH]- 469.899,23
FT1767,803.8169551,803.8155592,803.8193781,1637.196411,1637.193115,1637.223145,7,3,4,1,2759.012667,3232.963714,319.6078491,2849.784167,2488.0302,2712.809,2727.144,1694.834766,2901.29,1189.651438,[260][M+1]-,,23
FT425,238.9316022,238.9309593,238.9321472,1637.197632,1636.68689,1637.450195,10,5,5,1,15039.425,16513.19929,15774.58835,16214.3586,15542.40695,15005.33031,14422.72818,13061.14714,17472.37314,12911.58931,,[M+2Cl]2- 407.923,23
FT687,306.9188941,306.9182052,306.9196539,1637.197632,1636.68689,1637.450195,10,5,5,1,14681.83405,16361.00032,13952.01467,13597.458,15886.23771,14510.7282,14151.59333,11391.50492,16483.792,11138.20511,,,23
FT1872,1006.777538,1006.774015,1006.781442,1637.19812,1636.720337,1637.982666,10,5,5,1,4154.974286,4181.975571,4002.264,3936.690333,3884.419333,4182.696,4432.645714,2692.131333,4544.150571,3018.4235,,,23
FT1599,656.8113563,656.8088185,656.8126597,1637.199829,1637.193115,1637.698608,7,3,4,1,2900.215,3253.539857,3322.872,2868.463,3640.673991,2674.984,3086.496,2573.904704,3385.589571,2089.972941,,[M+Cl+NaCOOH]- 553.855,23
FT1805,872.803042,872.8010322,872.8057429,1637.199829,1636.68689,1637.450195,9,4,5,1,4228.178571,4517.718,4383.792,4174.650857,4097.977714,4239.913714,4774.41375,2800.016,4330.558286,4264.525427,,[M+Cl]- 837.833,23
FT502,255.7701056,255.7693633,255.7706503,1637.200415,1637.193115,1637.450195,10,5,5,1,10236.48889,11099.8128,8402.7,9209.148,10889.56533,10776.09033,9321.142,3717.851429,11370.22133,5907.88825,,,23
FT1623,670.8362423,670.8348912,670.8385578,1637.200415,1637.193115,1637.982666,10,5,5,1,3884.875714,3829.17,3770.928,3832.95,3776.777,3821.328,3809.544375,2777.868,3629.550429,3209.1245,,[M-H-C2H4]- 699.862,23
FT1768,804.8160998,804.8125454,804.8180315,1637.200415,1637.193115,1637.982666,10,5,5,1,5248.494857,5321.693143,5873.05625,5379.3025,5287.6645,5661.719,5938.006875,3692.728667,5951.572,4395.826286,[260][M+2]-,,23
FT637,294.9533454,294.9528649,294.9538603,1637.201,1637.195435,1637.698608,5,1,4,1,2585.6,2529.915667,880.1392415,2398.463167,2351.242,2370.871,2588.265666,1607.338175,835.0189209,1927.868245,,[M+Cl+HCOOH]- 213.985,23
FT1200,452.8502044,452.8468959,452.9240206,1637.201,1636.687988,1637.709473,11,5,4,1,135014.04,2869.746417,2893.591429,141858.2848,3187.270714,2904.552,2658.6,92912.68267,3498.902,102009.5249,,[M-H-CH4]- 469.899,23
FT1523,602.849306,602.8473522,602.8502465,1637.201,1637.194946,1637.692261,9,4,5,1,3608.718857,4060.7025,3577.392,3372.895,3739.428143,3832.416,3710.314286,2431.397705,3668.017286,2667.796,,,23
FT1688,718.8544562,718.8528054,718.8555684,1637.203003,1637.196411,1637.708618,5,3,2,1,2537.12,1879.488647,2026.3798,2144.66228,3372.50083,2434.417,2301.462646,1447.523621,2340.272667,2243.479333,,,23
FT466,248.9601058,248.8862971,248.9611908,1637.206787,1636.68689,1643.756836,17,5,5,1,297610.992,306990.8568,289553.7778,294062.5466,296058.3666,294932.5792,300442.4713,216318.1108,303886.3611,227837.9433,[39][M]-,[M+Cl]- 213.985,23
FT1709,735.8297898,735.8278237,735.8323722,1637.213074,1637.196411,1637.698608,6,2,4,1,2939.1,3052.797,2993.256,3976.404724,2887.198,2993.722667,2868.342857,1231.952888,2386.172612,2189.484149,[249][M+1]-,,23
FT230,176.8170787,176.8166418,176.8175504,1637.214966,1637.195435,1637.982666,10,5,5,1,15261.55176,15409.08475,15684.87212,13801.469,13363.45,13224.8457,13259.41764,20663.31808,14126.51462,19115.37785,,,23
FT239,180.8127564,180.8121746,180.8131043,1637.214966,1637.195435,1637.982666,10,5,5,1,13390.06588,14682.22541,13189.176,11837.338,12186.0098,11788.9101,12184.64,17392.95208,12013.22646,16320.62862,,,23
FT1395,534.8615558,534.8598001,534.8629911,1637.457703,1637.195435,1637.982666,10,5,5,1,3744.82875,3666.568286,3428.208,3310.275,3392.184714,3296.16,3930.594375,2349.184667,3635.657,2629.9585,,,23
FT1485,588.8237765,588.8214905,588.825067,1637.457703,1637.196411,1637.703369,6,2,4,1,2654.28,3059.382857,2579.316667,2067.85823,2884.442143,2705.748333,2501.856,2001.39976,4076.433152,2413.677524,,[M+Cl]- 553.855,23
FT1618,667.8436417,667.8410477,667.8445441,1637.457703,1637.195435,1637.711,6,2,4,1,3281.90525,3198.915,2439.736321,3016.87,3551.1755,2459.548732,2851.725,1798.246473,3153.776143,2210.344623,[231][M+1]-,,23
FT1711,736.8283333,736.8263758,736.8302742,1637.457703,1637.195435,1637.982666,10,5,5,1,7796.9255,8089.245,8227.32,8428.600556,8163.139333,8543.911,8639.504778,6042.83,8648.679667,6669.3,[249][M+2]-,,23
FT954,362.9405579,362.9395397,362.9416887,1637.695435,1637.195435,1637.982666,10,5,5,1,4069.85,4197.3825,4228.6005,3624.89,4069.8015,4208.4,4512.7045,3163.683,4194.405857,3491.634286,,[M+Cl+CF3COOH]- 213.985,23
FT1590,650.8673478,650.8652234,650.8688087,1637.695435,1637.195435,1637.982666,10,5,5,1,2832.04,3001.450167,3038.6125,3513.79,2969.487,3135.384,3300.910714,2500.484667,3257.029286,2869.318,,[M-H-CO]- 679.873,23
FT1840,938.7904505,938.7871052,938.7927414,1637.695435,1637.196411,1637.982666,10,5,5,1,6868.04625,6898.32,6401.37925,6953.643375,6217.458,6625.34075,6345.0375,4465.45,6733.342,4675.863429,,[2M-H]- 469.899,23
