mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,AR351_A,AR351_B,AR351_C,Cipro_A,Cipro_B,Cipro_C,Coumermycin_A,Coumermycin_B,Coumermycin_C,CN-DM-861_A,CN-DM-861_B,CN-DM-861_C,Levo_A,Levo_B,Levo_C,Lome_A,Lome_B,Lome_C,Novo_A,Novo_B,Novo_C,untreated_A,untreated_B,untreated_C,isotopes,iso_anno,adduct,pcgroup
353.2657885,353.2655219,353.2660476,1121.362671,1120.973,1121.496216,6,18673.53357,22688.17419,14663.7998,2353.303901,1829.941882,1879.585631,3999.837479,2813.891559,4034.117337,17269.7442,8144.716754,6585.281689,4826.747095,4136.352808,3910.731347,2197.045808,6831.738447,3425.249728,6069.152885,3588.300729,5122.474565,9535.986428,11802.59432,8612.268222,,0,[M+Na]+ 330.277 [M+2Na]2+ 660.553,80
353.2658266,353.2655511,353.2659414,1137.118382,1136.889648,1137.39624,6,25288.4455,17802.50473,25243.85305,3278.421076,3521.857566,3756.824806,3555.513381,3310.552862,3183.366563,17787.75877,10976.36174,9541.559938,7187.030646,12794.33386,5503.87029,3208.179366,6856.871444,4883.29698,7770.953329,3904.382424,3638.12219,19259.98277,19471.93892,13905.79334,,0,,118
354.1793418,354.1793407,354.1793429,957.1233826,956.8602295,957.3865356,2,1655.278621,1651.964399,1525.048385,1296.956311,1617.978094,1554.506572,575.563027,1241.74911,1819.813993,2500.614877,3089.57403,3528.105999,1802.295171,2255.774382,1001.525462,1722.752722,1843.082743,1298.48089,1308.058994,1619.440939,1639.161931,4698.682544,6056.163822,5080.925846,,0,,112
354.2786531,354.2784668,354.2789534,1130.46167,1130.187622,1130.726929,19,30453.04908,24004.68252,21660.7964,17298.38798,35227.03459,7880.632,14452.56236,9366.334404,12023.20361,106332.2968,52700.96562,51132.99744,13651.90166,20956.3842,16640.9305,20377.13197,27907.96797,16719.14641,9791.253181,8394.910998,8570.372379,123838.2048,138216.1563,144411.1099,,0,,46
354.8941104,354.8937762,354.8943925,67.8675766,67.19372559,68.36811829,21,3290.613592,3473.555362,3532.036188,3527.015352,3202.31017,3109.376527,3187.844366,2579.000172,2425.515633,2558.357058,2279.149062,2252.766248,3112.547292,3578.585901,3587.886561,3172.246382,2893.912173,4103.355054,2580.763501,2605.912513,1734.74577,2322.842526,2537.60384,2696.262832,,0,,19
355.6149795,355.6149507,355.6150544,917.5477295,917.0084229,917.993103,3,11588.58847,9108.486908,18574.43553,18149.59357,13471.47118,15208.53913,18685.0325,14317.48647,25344.92869,10433.01032,15674.57329,2962.654499,16005.7901,10986.15818,16871.67284,10162.66308,22726.23017,9038.156316,27100.96045,34130.03716,34490.66244,19014.02995,13618.36386,21727.40876,,0,,18
356.1164713,356.1163905,356.1165221,917.2939453,917.2645264,917.743103,3,7353.884852,1687.822582,7267.082329,8297.924843,5189.088177,5226.194971,5938.028053,6034.800892,5990.941953,2827.52467,6069.32654,7430.75457,6871.095171,6202.167935,4231.790742,6295.258327,5233.772118,2405.709544,10162.88597,12501.6365,11840.1208,5587.094697,5451.503361,2281.030399,,0,,18
359.1029495,359.1028483,359.1032715,327.179,327.1748962,328.4612122,3,3647.35238,4895.189192,2084.106977,447.8186067,4236.076763,114.1810664,116.5431418,59.92065273,146.5882064,1031.506967,1656.495391,11444.26192,206.7717747,7468.489882,1624.284853,296.2177498,110.9638085,2013.817542,2165.84015,60.17984655,99.09511247,4359.38552,14380.98051,8625.959392,,0,,222
359.1899423,359.1898434,359.1900718,1038.287292,1038.026001,1038.777222,4,4830.544118,5278.512712,4118.100938,4938.726987,5935.644736,4781.607658,2611.120572,1448.023702,1936.098069,5938.004526,6128.388756,5816.452504,4897.740275,4690.571051,3954.857618,4425.93677,6036.926874,3779.509239,2031.596335,2220.766634,1826.23899,8752.080143,8786.162425,7858.743983,,0,[M+H+K]2+ 678.416,263
359.2162439,359.2160532,359.2165938,834.045166,833.5167847,835.0425415,24,9041.807843,9404.508393,9103.861588,10326.66836,12105.09978,11172.92911,10926.0744,9611.483853,7964.077432,10585.46023,9715.013614,9634.646068,11750.61378,13545.76038,11390.2535,10161.2649,11309.04783,11126.10091,9284.936241,11561.51699,7519.526197,9598.278146,11020.34428,7501.737247,,0,,280
