row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Si11_35840.mzXML Peak area,Si11_35844.mzXML Peak area,Si11_35845.mzXML Peak area,Si11_35843.mzXML Peak area,Si11_35842.mzXML Peak area,Si11_35839.mzXML Peak area,Si11_35841.mzXML Peak area
245,385.292439987761,17.714682,,,,,,,,,,,218.50644,233.99974,219.41188,218.8049,219.34769,207.92291,205.7673
246,309.203646998065,17.720856,,,,,,,,,,,149.51851,138.83287,163.77684,153.5892,145.89087,146.45114,140.78082
247,429.318579440949,17.772293,,,,,,,,,,,207.6807,235.19054,204.75163,246.39642,239.5153,204.69942,205.3923
248,473.344636772952,17.775461,,,,,,,,,,,136.88644,176.58066,157.82162,177.18816,64.34105,131.72012,119.71455
249,561.396799608516,17.776974,,,,,,,,,,,44.873055,64.800125,119.19032,56.10668,50.22214,40.222298,78.4874
250,425.214568960818,17.85867,,,,,,,,,,,50.794388,59.448097,51.733418,62.916283,55.100784,61.04822,58.54904
251,274.15922933154,17.890516,,,,,,,,,,,154.63364,111.18248,102.29303,127.28122,125.64508,162.17018,142.76506
252,100.510051253598,17.936274,,,,,,,,,,,27.517094,14.21593,37.11894,369.82388,31.941984,35.19001,57.306313
253,649.449080908019,18.020884,,,,,,,,,,,71.845505,84.46387,91.35857,79.39918,66.72941,66.32634,68.554115
254,605.423111370758,18.037516,,,,,,,,,,,93.36914,111.46934,100.29186,96.12773,101.163506,83.74393,89.63125
255,561.397044231223,18.05257,,,,,,,,,,,89.940605,123.11808,118.068634,117.97676,112.7095,94.83267,111.2533
256,512.415720516694,18.070766,,,,12,37,[M+NH4]+,,2,256;257,494.38182,62.462254,57.689236,56.539997,34.231003,33.95934,67.78707,58.132652
257,517.370955648227,18.073816,,,,12,37,[M+Na]+,,2,256;257,494.38182,121.26966,142.85725,133.94827,144.66216,143.59102,108.45123,144.20035
258,473.344947984587,18.082882,,,,12,,,,,,,191.81735,241.14247,224.81828,231.62535,236.19783,191.27197,227.98558
259,341.266431671443,18.0844,,,,12,,,,,,,522.5395,545.795,572.0832,561.98444,539.87256,567.65454,568.5683
260,429.318831924609,18.088945,,,,12,,,,,,,317.84,385.83286,343.06647,307.55353,308.42212,302.10635,299.05682
261,297.240292149759,18.091986,,,,12,,,,,,,495.77295,461.19617,457.0757,466.28024,429.2244,447.48334,494.18396
262,385.292581065185,18.092052,,,,12,,,,,,,364.12634,344.61105,348.0827,358.10037,383.0973,401.12915,400.9103
263,311.255827892785,18.136093,,,,,,,,,,,765.13275,234.617,786.11584,777.7404,824.7958,766.9468,768.9524
264,99.5123360302459,18.197145,,,,,,,,,,,110.30465,46.133244,213.4559,247.55763,1567.3246,94.97686,86.50878
265,523.245561718144,18.228374,,,,33,38,[M+K]+,,2,265;266,484.2824,217.42287,235.83604,212.82483,223.36269,204.07365,203.43977,215.58699
266,507.271609266427,18.229877,,,,33,38,[M+Na]+,,2,265;266,484.2824,243.23967,249.71849,244.99686,255.17792,235.49335,229.81366,258.45453
267,385.178606305439,18.330154,,,,,,,,,,,41.189606,122.97329,150.37967,24.148129,178.18506,83.102844,113.84619
269,297.082558555307,18.367771,,,,23,,,,,,,37.98072,33.681118,35.081932,44.239532,35.94074,49.273174,47.35624
270,223.063873854746,18.366343,,,,23,40,[M-H2O+2H]+2,,3,270;278;276,462.12357,43.22618,20.781399,37.740276,36.52684,39.71432,51.619503,41.46807
271,463.130847660138,18.366224,,,,23,40,[M+H]+,,3,278;271;276,462.12357,85.3983,61.63474,55.81087,59.800438,57.05714,89.15597,73.8057
272,486.113385697078,18.366224,,,,23,39,[M+Na]+,,2,272;273,463.12411,413.83594,362.4808,303.63153,373.70703,365.51956,435.278,406.73593
273,502.087218325254,18.367771,,,,23,39,[M+K]+,,2,272;273,463.12411,109.758354,95.22279,83.23251,94.704506,96.77001,125.710014,105.31636
275,487.111073844202,18.36926,,,,23,41,[M+Na]+,,2,275;277,464.12185,275.15897,223.49678,202.19315,228.75761,226.35161,319.83047,268.12985
276,485.112652703369,18.36935,,,,23,40,[M+Na]+,,4,270;278;271;276,462.12357,1022.877,873.14246,731.2656,870.26434,865.32355,1026.1364,946.82465
277,503.08500877297,18.370655,,,,23,41,[M+K]+,,2,275;277,464.12185,83.65849,78.65187,63.304745,88.839,71.980446,99.305534,88.11838
278,501.086651002633,18.370836,,,,23,40,[M+K]+,,4,270;278;271;276,462.12357,290.96008,230.17043,217.24059,243.90974,237.15698,299.87454,269.89618
279,99.5123309450798,18.384506,,,,37,,,,,,,111.595764,168.38097,71.631065,287.47485,226.54364,89.38635,69.016754
280,108.517659209401,18.367834,,,,,,,,,,,28.378227,26.292747,18.674774,24.634167,141.26274,20.265347,15.689931
281,707.490947844682,18.459581,,,,,,,,,,,101.51236,186.33081,193.82433,187.5674,174.39587,92.03019,94.351425
282,663.465084314261,18.478971,,,,,,,,,,,55.896408,137.58905,37.257286,162.9744,147.60922,85.03064,239.10797
283,614.48339650701,18.49127,,,,,,,,,,,177.78159,56.14402,74.699936,69.71038,39.464493,30.929321,37.872044
284,619.438853412262,18.485308,,,,,,,,,,,134.49695,176.80975,143.10774,169.03566,121.03662,95.642815,162.71843
285,570.45727797228,18.506626,,,,,,,,,,,71.703606,86.58816,41.88233,24.455612,82.3662,70.89464,74.8242
286,531.386451855624,18.520294,,,,,,,,,,,118.696724,136.46088,123.55293,183.17645,178.79193,99.055885,63.40062
288,443.334277639987,18.541632,,,,26,,,,,,,710.59845,715.085,320.06952,651.0829,305.03882,660.8019,347.28552
289,355.281997567304,18.538635,,,,26,,,,,,,1521.3868,1544.0936,1615.6448,1578.1581,1548.6301,1487.0266,1241.2977
