mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,PA14_Si11_10uM,PA14_Si11_4uM,PA14_Si11_8uM,ms_level,X1,X2,X3,X4,X5,X6,X7,X8,X9,isotopes,adduct,pcgroup
97.96874213,97.96866225,97.9687966,1711.661377,1707.43396,1718.102661,8,3,1,1,1,18993.65813,3129.60375,18679.9323,24767.18322,25955.61056,8920.976923,27438.7132,25713.5089,18361.91762,,,264
97.96872003,97.96866298,97.96881185,1729.798096,1726.249512,1732.102417,5,3,1,1,1,12284.08188,6668.075077,22586.58048,19691.01316,22781.81717,14783.90933,22919.6496,19229.4988,22553.38487,,,286
97.96876812,97.96873101,97.96879409,1783.741943,1781.315918,1784.421143,3,3,0,0,1,18757.68294,14205.68417,14057.85467,11532.80649,14702.48712,13379.86854,13976.96794,12105.41962,14457.75269,,,290
97.96877625,97.96876672,97.96884513,1771.985107,1771.070313,1774.988281,3,3,0,0,1,6744.189375,10762.6575,12342.288,7075.215567,7978.828425,8869.965445,7335.852764,7092.766827,8525.905349,,,291
97.96878799,97.96873426,97.96884396,1797.818542,1793.878174,1800.130493,4,3,0,0,1,6177.445313,14896.49395,10579.56507,10119.9136,7839.746468,6432.410741,8539.742565,6945.528218,11050.32848,,,292
98.51207564,98.51199527,98.51223485,1645.823181,1645.323242,1646.581,8,3,3,2,1,103341.8428,144922.7287,159487.6331,245422.9112,247538.4884,193293.7923,171595.9275,172477.0586,201610.088,,,47
98.95161398,98.91887571,98.98422683,69.12020111,67.32467651,71.17340088,18,3,3,3,1,100881.1539,5316.29475,5005.304167,5190.021875,5511.785882,115248.6494,5286.000231,115309.7299,5230.458933,,,92
99.51226923,99.51205863,99.51231232,1643.532471,1643.513062,1643.79834,5,0,3,2,1,13334.65104,27738.84222,9852.657304,44980.18915,44213.90976,43504.22668,41590.93843,33473.08105,42199.38208,,,315
101.003185,101.0030064,101.0032652,85.69576263,85.66924286,85.95054626,7,3,2,2,1,189474.2897,195338.9885,192239.4789,118708.0122,103531.7184,127092.1759,173750.8615,181841.0489,178048.1114,,[M+Na]+ 78.0131 [M+2Na]2+ 156.029,31
102.0549453,102.0548799,102.0550064,71.64331818,71.40834045,71.68299866,9,3,3,3,1,18899.54088,18595.49608,18836.97075,18449.29978,19034.82963,19237.89365,18583.148,18781.20176,17990.72524,,[M+H]+ 101.048,54
102.1277797,102.1277371,102.1280986,1640.73877,1640.704346,1641.262695,7,3,2,2,1,295517.46,291348.6784,292738.6159,344677.6558,334213.8645,335139.9476,291225.3301,232803.0881,340101.6824,[1][M]+,,309
102.0463446,102.0462832,102.0464493,623.7548828,623.7481689,624.1266479,3,0,0,3,1,7483.266351,7581.348765,7054.551282,4079.648378,3851.84406,4683.57653,9357.537969,8973.029655,8608.548552,,[M+H-CH4]+ 117.075,3
103.0543006,103.0541315,103.0543725,623.8832397,623.7481689,624.39,9,3,3,3,1,53704.91569,52901.576,54422.91064,31866.04565,25583.867,33046.42579,63328.19663,63714.32537,63330.0304,,[M+H-CH3]+ 117.075,3
103.0542087,103.0541287,103.0543217,220.8664551,220.3619537,221.1347198,9,3,3,3,1,30821.69975,29056.55545,30910.17496,32364.67958,32607.33,32501.09728,32705.47363,34690.89959,33864.8883,,[M+H-NH3]+ 119.073,40
103.1312561,103.1311148,103.1315027,1640.843506,1640.720093,1641.262695,6,3,1,2,1,23128.73407,21600.68733,21618.52022,25353.3015,23241.34222,24974.95484,21099.53613,19235.30558,25553.37578,[1][M+1]+,,305
104.0706024,104.070533,104.0706757,71.68,71.40834045,71.68299866,9,3,3,3,1,18086.26838,17770.61314,18694.0713,18883.92665,18959.86769,19133.884,19125.3528,18741.3791,19254.36229,,[M+2H-C6H10O5]2+ 368.189,54
105.0335436,105.0334024,105.033551,507.5079193,507.20578,507.895752,6,3,0,3,1,11994.52403,12127.54065,11900.89492,5714.729267,6205.125923,4408.873676,13883.89279,14284.17285,13240.78216,,,8
105.0699083,105.0698238,105.0699624,680.2237549,679.9442749,681.4788208,9,3,3,3,1,87863.8721,86528.13,88064.83538,43875.38003,43351.47286,44341.40653,96877.12924,98728.9154,97499.28867,,[M+2H]2+ 208.126,2
106.95054,106.9503954,106.9507742,66.06163788,65.78240967,66.086,9,3,3,3,1,14117.152,13783.12813,14182.74471,12141.81321,14575.048,14148.43686,14108.39123,14657.79938,14441.07343,,[M+2K]2+ 135.975,83
107.0491566,107.0490593,107.0492521,559.428,559.4185181,559.6737671,9,3,3,3,1,408064.9035,406693.8211,407917.5347,263969.0691,260057.07,266328.3191,416292.4705,437925.7923,438940.0612,[2][M]+,[M+H-COCH2]+ 148.052,15
108.0525231,108.0524163,108.0526172,559.4425659,559.4185181,559.6862183,9,3,3,3,1,32068.39151,31726.90902,32709.24095,20718.34989,20588.69024,20828.29283,32071.9536,34949.17125,33708.44472,[2][M+1]+,,15
110.0086761,110.0085468,110.0087769,62.273,62.20095444,62.53038406,9,3,3,3,1,70304.17156,66851.30818,68367.91286,57838.225,58155.18606,62051.82249,59095.57455,60779.71036,59729.6205,,[M+Na]+ 87.0213,96
111.0099162,111.0097512,111.0100662,62.27484894,62.20095444,62.50634766,9,3,3,3,1,10651.04362,10226.20067,10213.60091,8679.04,8297.839565,9057.855,8420.720842,8710.416,8177.985529,,,96
112.0062629,112.0061035,112.0063947,62.27484894,62.20095444,62.53038406,9,3,3,3,1,10250.95735,9257.405389,10299.016,7960.2876,8294.283333,9009.405,8113.765895,8318.8004,8586.611136,,[M+H]+ 110.995,96
112.8956749,112.895437,112.8958095,67.59300232,67.32467651,67.61003876,9,3,3,3,1,54801.02263,53204.99916,57163.89075,46663.5939,55615.9965,55336.0197,54671.36632,54706.954,55414.14815,,[M+K]+ 73.9315,85
112.9997711,112.9996727,112.9998988,72.43845367,72.39656067,72.70571136,9,3,3,3,1,8247.447484,8050.115741,7439.392,8444.546654,8037.28484,8849.667276,7201.16775,8376.139214,8098.012276,,,319
113.9636697,113.963584,113.9638613,1645.5672,1644.80127,1646.835,8,3,3,2,1,356448.1786,360482.7988,794393.3171,875054.896,1276812.316,857145.1472,713458.497,699339.018,720884.4666,,[M+Na]+ 90.9766,47
114.8930432,114.8927791,114.8931573,67.59300232,67.32467651,67.61003876,9,3,3,3,1,26121.284,26295.83289,27313.302,23174.42325,26910.284,25695.635,26913.828,26092.48394,27133.5623,,,85
115.0542512,115.054102,115.0542942,750.5266724,750.4140015,750.76,9,3,3,3,1,15744.66444,15991.07621,16467.63671,10145.2129,10063.63427,10802.516,19306.45362,19179.81917,20012.15351,,,16
115.0542432,115.0541303,115.0543195,680.2237549,679.7420654,681.4788208,9,3,3,3,1,46909.53503,48192.85476,48714.30332,25462.72889,25378.90195,26323.12635,56844.131,58376.92488,58249.09118,,[M+H+Na]2+ 206.11,2
116.0705723,116.0704142,116.0706848,75.24376678,75.13452911,75.25189209,9,3,3,3,1,56914.25422,55029.56297,55172.42813,56720.73071,57522.57417,57186.36056,56810.70268,57940.83582,56495.01929,,,104
117.0334709,117.0333836,117.0335515,516.4886475,516.3179321,516.8356323,9,3,3,3,1,45879.82439,46200.94877,45751.29954,26566.53558,25134.08694,25251.98267,45826.53223,48576.6695,48484.61123,,[M+2H-C6H8O6]2+ 408.089,14
116.9760737,116.9760382,116.9761241,1711.498352,1710.735352,1715.030273,4,0,1,3,1,16205.37457,17169.90324,18217.43827,21653.51976,12395.87421,12500.80298,14203.64026,4345.554111,14067.37338,,,377
116.9761448,116.9760505,116.9762353,1721.549194,1719.408813,1723.737183,4,0,1,3,1,30964.48976,30000.40783,30718.16852,12131.90521,26582.27536,25926.55306,16303.98482,31287.74961,19833.65408,,,268
117.0698966,117.0698161,117.0700021,680.2237549,679.9442749,681.4788208,9,3,3,3,1,150176.5571,147078.9133,151403.1058,74292.80253,73284.2055,75545.65433,160972.3442,164091.9775,165638.3617,,[M+2H]2+ 232.126,2
117.0572833,117.0571958,117.0574515,537.25,536.5419312,537.2717896,8,3,3,2,1,255234.7019,251790.5354,256285.8878,155439.6817,156318.662,157155.4482,116758.3265,287806.0353,285442.6746,,,1
117.0572791,117.0571352,117.057397,635.8895874,635.5241089,636.0568848,6,3,0,3,1,16875.92894,17026.944,16784.52882,5438.412325,6325.716621,6980.342823,17086.03106,16041.572,17094.30316,,[M+H]+ 116.051,59
118.086217,118.0860621,118.086389,83.90539551,83.65349579,84.14749146,9,3,3,3,1,79410.82206,78021.05434,79023.96838,58675.11984,75171.39027,76527.58331,78099.96124,80850.83344,79683.69094,,[M+H-CO2]+ 161.069,86
118.0863332,118.0861825,118.086452,623.8811646,623.7481689,624.1266479,8,3,2,3,1,224703.2463,224427.84,224167.7993,125004.4959,110359.112,127247.4123,213044.8727,212939.032,213701.1386,[3][M]+,[M+H]+ 117.075,3
