"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT0815",153.0697,750.5,NA,NA,"FT0816-OH; FT0817-CH3OH","FT0817_MS2 match; FT0819_MS2 match; FT0825_MS2 match","","group79","corgroup127","+",""
"FT1263",153.1274,1009.2,NA,NA,"FT1266-H2O","","","group176","corgroup64","",""
"FT0426",153.2219,507.4,NA,NA,NA,"","",NA,"corgroup119","",""
"FT0413",154.0581,507.2,NA,NA,NA,"FT0435_MS2 match; FT0458_MS2 match","[14][M+1]+","group38","corgroup119","+",""
"FT0978",154.0651,870,NA,NA,"FT0969-CH2OH; FT0974-formaldehyde; FT0987-H2O","","","group111","corgroup135","+",""
"FT0833",154.0773,750.5,NA,NA,"FT0817-CH2OH","FT0817_MS2 match; FT0819_MS2 match; FT0825_MS2 match; FT0851_MS2 match","","group79","corgroup127","+",""
"FT0427",155.0598,507.4,NA,NA,NA,"FT0435_MS2 match","[14][M+2]+","group38","corgroup119","+",""
"FT0707",155.0603,636,NA,NA,NA,"FT0701_MS2 match","","group65","corgroup155","+",""
"FT0843",155.0851,750.6,NA,NA,"FT0817-formaldehyde; FT0863-NO2+NO2+CO","FT0817_MS2 match; FT0819_MS2 match; FT0825_MS2 match","","group79","corgroup127","+",""
"FT0734",155.0855,680.2,NA,NA,"FT0748-benzene","Precursor; FT0734_MS2 match; FT0748_MS2 match; FT0751_MS2 match","[15][M]+","group69","corgroup172","+",""
"FT0806",155.5413,750.5,NA,NA,NA,"","",NA,NA,"",""
"FT0700",156.0681,635.9,NA,"[M]+ 156.0687",NA,"","","group65","corgroup155","+",""
"FT0735",156.0888,680.2,NA,NA,NA,"FT0734_MS2 match; FT0748_MS2 match; FT0751_MS2 match","[15][M+1]+","group69","corgroup172","+",""
"FT0290",157.0351,85.7,NA,NA,NA,"Precursor","","group13","corgroup72","+",""
"FT0646",157.0472,623.9,NA,"[M+H+K]2+ 274.1317",NA,"","","group57",NA,"",""
"FT0701",157.0759,635.9,"3-Indoleacetonitrile [M+H]+","[M+H]+ 156.0687",NA,"Precursor","[16][M]+","group65","corgroup155","+",""
"FT0950",157.1224,847.1,NA,NA,"FT0951-H2O","","","group103","corgroup60","+",""
"FT1059",157.1224,902.1,NA,NA,"FT1061-H2O","","","group129","corgroup59","+",""
"FT0656",158.0601,623.9,NA,NA,NA,"FT0663_MS2 match; FT0668_MS2 match; FT0672_MS2 match","","group57","corgroup133","+",""
"FT0807",158.0726,750.5,NA,NA,NA,"FT0817_MS2 match; FT0819_MS2 match; FT0821_MS2 match","","group79","corgroup127","+",""
"FT0703",158.0793,635.9,NA,NA,NA,"","[16][M+1]+","group65","corgroup155","+",""
"FT0795",158.1539,743.9,NA,NA,NA,"","",NA,"corgroup55","",""
"FT0187",158.964,65.8,NA,NA,NA,"","",NA,"corgroup117","",""
"FT0979",159.0678,870,NA,NA,NA,"","",NA,"corgroup135","",""
"FT1041",159.0678,900.3,NA,NA,NA,"","[17][M]+","group125","corgroup112","+",""
"FT1122",159.0678,939.3,NA,NA,NA,"","",NA,"corgroup128","",""
"FT0904",159.0679,794,NA,NA,NA,"","",NA,"corgroup92","",""
"FT0228",159.0764,72.2,NA,NA,"FT0229-NH3","","","group9","corgroup7","",""
"FT0942",159.1379,833.8,NA,NA,NA,"","",NA,NA,"",""
"FT1038",160.0716,900.3,NA,NA,NA,"","[17][M+1]+","group125","corgroup112","+",""
"FT0620",160.0758,612.7,NA,NA,NA,"","",NA,NA,"",""
"FT0233",161.0921,74.2,NA,NA,NA,"","","group10",NA,"",""
"FT0896",161.096,786.6,NA,NA,NA,"","",NA,NA,"",""
"FT1022",162.0548,900,NA,NA,NA,"","",NA,"corgroup112","",""
"FT0907",162.055,794.1,NA,NA,NA,"","",NA,"corgroup92","",""
"FT0255",162.076,83.9,NA,NA,NA,"","","group13","corgroup91","",""
"FT0533",163.1329,532.8,NA,NA,NA,"","",NA,"corgroup195","",""
"FT0211",164.9299,67.8,NA,NA,NA,"","",NA,"corgroup107","",""
"FT0569",165.0335,537.3,NA,"[2M+H+K]2+ 145.0528",NA,"FT0566_MS2 match","","group48","corgroup157","+",""
"FT0375",165.0546,491.1,"p-Coumaric Acid [M+H]+","[M+H]+ 164.0473",NA,"Precursor; FT0375_MS2 match; FT0386_MS2 match; FT0388_MS2 match","[18][M]+","group37","corgroup125","+",""
"FT0319",165.0546,125.7,"p-Coumaric Acid [M+H]+","[M+H]+ 164.0473","FT0320-NH3","","","group23",NA,"",""
"FT0308",165.0547,115.6,"p-Coumaric Acid [M+H]+","[M+H]+ 164.0473","FT0307-NH3","","","group20",NA,"",""
